orderid,zone,minutes
10323,South,40.9
10300,Central,29.7
10414,South,22.9
10137,North,34.3
10363,South,36.9
10097,North,27.2
10086,North,22.1
10234,Central,23.9
10186,Central,47.8
10389,South,22.1
10122,North,42.7
10404,South,36.2
10038,North,23.6
10172,Central,31.9
10270,Central,27.4
10138,North,23.7
10218,Central,33.0
10358,South,15.2
10189,Central,24.3
10336,South,18.9
10396,South,31.9
10168,Central,26.2
10246,Central,18.9
10016,North,20.5
10422,South,29.0
10390,South,32.4
10037,North,30.1
10379,South,34.5
10212,Central,47.9
10309,South,26.7
10376,South,38.6
10108,North,30.8
10345,South,26.5
10290,Central,25.9
10288,Central,29.5
10385,South,42.5
10209,Central,32.7
10093,North,46.8
10339,South,31.2
10283,Central,18.6
10294,Central,32.3
10148,North,37.2
10135,North,18.8
10329,South,24.9
10075,North,30.5
10236,Central,46.9
10448,Airport,2574.0
10381,South,46.6
10217,Central,37.2
10276,Central,30.7
10201,Central,40.6
10013,North,34.2
10264,Central,24.7
10305,Central,35.7
10141,North,42.6
10173,Central,20.0
10248,Central,20.6
10266,Central,27.0
10236,Central,46.9
10259,Central,40.0
10005,North,26.7
10349,South,30.8
10385,South,42.5
10145,North,38.8
10055,North,26.0
10164,Central,22.2
10394,South,41.4
10072,North,45.4
10435,South,23.7
10374,South,26.3
10242,Central,30.0
10107,North,30.7
10311,South,31.3
10274,Central,30.9
10025,North,49.7
10044,North,24.1
10446,Airport,1824.0
10393,South,22.1
10263,Central,29.0
10318,South,32.6
10083,North,35.1
10167,Central,31.1
10387,South,41.3
10361,South,27.3
10125,North,53.8
10407,South,26.3
10102,North,30.9
10431,South,31.8
10077,North,33.4
10133,North,35.9
10429,South,41.0
10151,Central,22.1
10134,North,40.6
10027,North,23.2
10442,Airport,1332.0
10368,South,20.2
10113,North,29.3
10337,South,19.2
10302,Central,22.2
10366,South,42.1
10028,North,35.8
10399,South,37.4
10447,Airport,1410.0
10111,North,25.2
10093,North,46.8
10205,Central,30.4
10231,Central,27.4
10191,Central,22.6
10320,South,28.9
10206,Central,18.3
10171,Central,24.9
10449,Airport,2016.0
10373,South,29.2
10057,North,33.1
10149,North,29.2
10088,North,41.3
10091,North,16.9
10098,North,32.3
10059,North,14.2
10117,North,24.6
10196,Central,41.1
10070,North,18.7
10334,South,30.3
10304,Central,26.1
10322,South,31.0
10398,South,24.2
10384,South,24.1
10214,Central,32.8
10317,South,34.8
10277,Central,19.4
10280,Central,37.2
10307,Central,36.7
10355,South,33.6
10025,North,49.7
10088,North,41.3
10226,Central,46.7
10090,North,40.3
10324,South,31.7
10371,South,28.4
10256,Central,48.3
10365,South,22.6
10451,South,999.0
10015,North,20.1
10443,Airport,2088.0
10289,Central,30.1
10121,North,27.1
10043,North,23.5
10197,Central,14.4
10034,North,18.9
10051,North,48.0
10421,South,21.3
10455,North,999.0
10330,South,30.0
10297,Central,35.6
10372,South,32.2
10017,North,24.9
10159,Central,27.9
10244,Central,32.4
10067,North,43.6
10416,South,29.7
10434,South,24.9
10120,North,20.7
10445,Airport,2376.0
10066,North,41.2
10125,North,53.8
10010,North,27.8
10019,North,22.3
10154,Central,59.1
10295,Central,26.6
10257,Central,21.0
10306,Central,25.4
10273,Central,34.7
10134,North,40.6
10402,South,36.8
10254,Central,22.1
10271,Central,29.1
10162,Central,22.0
10287,Central,32.8
10397,South,27.1
10333,South,28.1
10338,South,23.8
10423,South,26.9
10002,North,16.2
10225,Central,22.5
10208,Central,43.9
10118,North,31.8
10420,South,28.3
10352,South,46.6
10360,South,25.3
10265,Central,32.2
10275,Central,28.9
10071,North,48.8
10129,North,27.8
10388,South,16.6
10099,North,26.0
10061,North,44.0
10022,North,30.4
10194,Central,27.0
10006,North,34.8
10221,Central,42.0
10314,South,25.6
10136,North,17.0
10432,South,37.5
10375,South,23.9
10328,South,22.0
10199,Central,24.3
10412,South,27.2
10204,Central,26.6
10068,North,21.2
10224,Central,29.8
10128,North,28.2
10144,North,37.1
10327,South,28.8
10140,North,29.0
10219,Central,29.5
10380,South,36.4
10331,South,18.7
10158,Central,29.3
10095,North,23.4
10256,Central,48.3
10212,Central,47.9
10132,North,30.2
10227,Central,34.9
10040,North,32.5
10433,South,46.1
10366,South,42.1
10190,Central,18.9
10441,Airport,2658.0
10428,South,30.0
10249,Central,27.8
10039,North,24.4
10243,Central,39.9
10354,South,28.7
10406,South,31.6
10139,North,19.9
10023,North,22.7
10160,Central,23.9
10026,North,54.1
10184,Central,20.9
10241,Central,38.1
10014,North,23.5
10146,North,29.1
10405,South,39.0
10315,South,39.5
10362,South,50.1
10079,North,26.9
10321,South,33.2
10413,South,28.0
10066,North,41.2
10377,South,41.6
10053,North,21.3
10452,South,999.0
10035,North,40.3
10335,South,34.2
10076,North,42.9
10377,South,41.6
10185,Central,30.7
10312,South,19.5
10326,South,35.1
10188,Central,37.7
10285,Central,24.0
10456,South,999.0
10166,Central,23.2
10392,South,26.9
10299,Central,23.1
10024,North,33.7
10362,South,50.1
10348,South,27.3
10430,South,39.8
10183,Central,36.5
10344,South,25.0
10042,North,27.4
10357,South,28.2
10237,Central,21.7
10226,Central,46.7
10351,South,38.6
10076,North,42.9
10032,North,24.6
10350,South,27.7
10046,North,20.1
10026,North,54.1
10109,North,24.9
10106,North,32.2
10150,North,23.9
10030,North,28.6
10182,Central,44.3
10110,North,34.1
10123,North,34.4
10071,North,48.8
10105,North,29.9
10061,North,44.0
10147,North,19.0
10084,North,58.5
10316,South,19.0
10382,South,21.8
10426,South,23.9
10228,Central,18.7
10436,South,40.1
10152,Central,23.7
10001,North,23.0
10268,Central,30.5
10395,South,41.5
10089,North,33.5
10078,North,30.3
10269,Central,35.3
10418,South,16.9
10124,North,32.7
10298,Central,25.9
10370,South,47.4
10096,North,38.5
10067,North,43.6
10012,North,27.0
10115,North,18.2
10332,South,25.9
10429,South,41.0
10258,Central,21.9
10220,Central,34.8
10438,South,39.5
10253,Central,32.3
10353,South,31.2
10352,South,46.6
10262,Central,23.8
10444,Airport,3156.0
10179,Central,35.9
10411,South,34.8
10279,Central,30.7
10020,North,24.9
10356,South,38.9
10170,Central,24.6
10240,Central,19.2
10278,Central,36.6
10161,Central,26.7
10074,North,19.0
10018,North,35.9
10063,North,32.6
10250,Central,23.3
10229,Central,24.0
10239,Central,30.3
10230,Central,29.2
10319,South,19.2
10284,Central,23.2
10048,North,34.5
10251,Central,32.9
10080,North,22.6
10296,Central,29.6
10208,Central,43.9
10021,North,33.0
10457,North,999.0
10425,South,13.4
10141,North,42.6
10193,Central,36.6
10131,North,26.7
10216,Central,23.7
10245,Central,21.1
10364,South,26.0
10060,North,24.2
10222,Central,22.2
10177,Central,32.4
10450,Airport,960.0
10056,North,30.4
10292,Central,31.1
10255,Central,34.2
10408,South,29.2
10386,South,28.2
10437,South,36.3
10198,Central,29.4
10069,North,20.9
10211,Central,24.7
10233,Central,39.6
10202,Central,17.6
10169,Central,21.0
10186,Central,47.8
10036,North,30.9
10130,North,36.8
